station_code,station_name,latitude,longitude,basin,sub_basin,tambon,amphoe,province,station_type_telem,start_datetime,end_datetime,agency_name,sponsor_by
MOU001,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำปิงส่วนที่ 2 จังหวัดเชียงใหม่,18.874481,98.7916,ปิง,แม่น้ำปิงส่วนที่ 2/2,โป่งแยง,แม่ริม,เชียงใหม่,R,2020-03-19 00:00:00,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU002,หน่วยจัดการต้นน้ำแม่สา,18.910006,98.835594,ปิง,แม่น้ำปิงส่วนที่ 2/2,โป่งแยง,แม่ริม,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU003,หน่วยจัดการต้นน้ำห้วยป่าเลา,18.836586,98.78661,ปิง,น้ำแม่ขาน,บ้านปง,หางดง,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU004,ที่ทำการอุทยานแห่งชาติออบขาน,18.72087,98.82256,ปิง,น้ำแม่ขาน,น้ำแพร่,หางดง,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU005,หน่วยจัดการต้นน้ำแม่ลาน,18.773909,98.69296,ปิง,น้ำแม่ขาน,สะเมิงใต้,สะเมิง,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU006,หน่วยป้องกันรักษาป่าที่ ชม. ๑๓ (สันป่าตอง),18.632421,98.70687,ปิง,น้ำแม่ขาน,แม่วิน,แม่วาง,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU007,หน่วยจัดการต้นน้ำแม่นาไทร,18.794703,98.832344,ปิง,แม่น้ำปิงส่วนที่ 2/2,บ้านปง,หางดง,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU008,หน่วยจัดการต้นน้ำบ่อแก้ว,18.870062,98.51177,ปิง,น้ำแม่แจ่มตอนบน,แม่นาจร,แม่แจ่ม,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU009,สะพานน้ำแม่สา,18.885904,98.82682,ปิง,แม่น้ำปิงส่วนที่ 2/2,โป่งแยง,แม่ริม,เชียงใหม่,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU010,สะพานห้วยแม่ตาช้าง,18.771929,98.862625,ปิง,แม่น้ำปิงส่วนที่ 2/2,บ้านปง,หางดง,เชียงใหม่,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU011,หน่วยจัดการต้นน้ำดอยตุง,20.323719,99.7844,โขงเหนือ,น้ำแม่จัน,แม่ฟ้าหลวง,แม่ฟ้าหลวง,เชียงราย,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU012,หน่วยพิทักษ์อุทยานฯ ที่ ดป.๔ (โครงการบ้านเล็กฯ),20.080412,99.18118,โขงเหนือ,น้ำแม่ฝาง,แม่สาว,แม่อาย,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU013,หน่วยจัดการต้นน้ำขุนแม่กก,20.077362,99.25363,โขงเหนือ,น้ำแม่ฝาง,แม่อาย,แม่อาย,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU014,หน่วยจัดการต้นน้ำดอยผาหลวง,20.015734,99.16127,โขงเหนือ,น้ำแม่ฝาง,โป่งน้ำร้อน,ฝาง,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU015,สะพานห้วยแม่สาว,20.014025,99.26684,โขงเหนือ,น้ำแม่ฝาง,แม่สาว,แม่อาย,เชียงใหม่,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU016,ที่ทำการอุทยานแห่งชาติดอยผ้าห่มปก,19.968637,99.15381,โขงเหนือ,น้ำแม่ฝาง,โป่งน้ำร้อน,ฝาง,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU017,หน่วยจัดการต้นน้ำแม่เผอะ (อ่างขาง),19.895344,99.04919,โขงเหนือ,น้ำแม่ฝาง,แม่งอน,ฝาง,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU018,โครงการพัฒนาราษฎรชาวไทยภูเขา ฯ บ้านปางคอง,19.772844,98.04208,สาละวิน,น้ำของ,นาปู่ป้อม,ปางมะผ้า,แม่ฮ่องสอน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU019,หน่วยจัดการต้นน้ำดอยถ้วย,19.692398,98.80149,ปิง,แม่น้ำแม่แตง,เมืองนะ,เชียงดาว,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU020,หน่วยจัดการต้นน้ำแม่ทะลบหลวง,19.68675,99.22051,โขงเหนือ,น้ำแม่ฝาง,แม่ทะลบ,ไชยปราการ,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
