City,time,co,dew,h,no2,o3,p,pm10,pm25,r,so2,t,w
Bangkok,2025-02-19,0.1,,8.149999999999999,2.05,13.25,1011.2,53.5,119.5,1.1,0.6,32.3,1.5
Bangkok,2025-02-20,0.1,,8.149999999999999,2.05,13.25,1011.2,53.5,119.5,1.1,0.6,32.3,1.5
Bangkok,2025-02-21,0.1,,87.4,5.2,4.4,1010.5,43.0,135.0,0.2,0.6,28.4,1.5
Bangkok,2025-02-22,0.1,,46.7,2.35,9.1,1013.6,47.0,119.0,0.4,0.6,29.85,2.5
Bangkok,2025-02-23,0.1,,38.5,0.6,16.2,1012.15,51.5,128.0,0.6,0.6,33.7,2.5
Bangkok,2025-02-24,0.1,,11.7,0.6,15.4,1017.5,30.0,68.0,99.0,0.6,28.9,2.0
Bangkok,2025-02-25,0.1,,90.5,2.9,9.1,1018.2,54.0,76.0,0.6,0.6,29.4,1.0
Bangkok,2025-02-26,0.1,,33.15,0.6,9.3,1016.45,32.0,74.5,2.8,0.6,27.55,2.25
Bangkok,2025-02-27,0.1,,43.0,0.6,13.8,1014.0,60.0,108.0,3.3,0.6,34.0,3.6
Bangkok,2025-02-28,0.1,,9.2,0.6,19.4,1013.8,41.0,104.0,2.8,0.6,32.7,2.0
Bangkok,2025-03-01,0.1,,7.95,3.5,13.45,1010.95,53.5,85.5,3.05,0.6,31.15,1.75
Bangkok,2025-03-02,0.1,,7.7,1.2,18.6,1010.4,45.0,67.0,3.3,0.6,33.0,1.5
Bangkok,2025-03-03,0.1,,8.5,1.2,18.6,1010.6,48.0,89.0,99.3,0.6,33.0,3.0
Bangkok,2025-03-04,0.1,,8.9,0.6,21.3,1010.2,48.0,95.0,0.1,0.6,32.7,1.5
Bangkok,2025-03-05,0.1,,59.0,0.6,18.2,1010.0,42.0,84.0,99.4,0.6,35.0,4.1
Bangkok,2025-03-06,0.1,,9.4,2.9,24.9,1011.2,50.0,80.0,99.4,0.6,32.4,2.0
Bangkok,2025-03-07,0.1,,66.0,1.2,10.3,1010.0,35.0,65.0,99.4,0.6,31.7,4.1
Bangkok,2025-03-08,0.1,,9.0,1.2,11.5,1013.3,29.0,135.0,0.4,0.6,29.9,2.5
Bangkok,2025-03-09,0.1,,87.7,2.4,4.8,1013.1,41.0,85.0,0.4,0.6,26.0,0.5
Bangkok,2025-03-10,0.1,,52.1,0.6,15.0,1014.5,65.0,86.0,0.4,0.6,34.2,4.1
