City,time,co,dew,h,no2,o3,p,pm10,pm25,r,so2,t,w
Ayutthaya,2025-02-19,0.1,8.95,39.5,3.5,5.2,1011.15,64.0,104.5,0.5,0.6,29.8,2.5
Ayutthaya,2025-02-20,0.1,8.95,39.5,3.5,5.2,1011.15,64.0,104.5,0.5,0.6,29.8,2.5
Ayutthaya,2025-02-21,0.1,25.3,84.8,3.5,5.2,1011.4,64.0,138.0,0.5,0.6,25.8,1.0
Ayutthaya,2025-02-22,0.1,15.066666666666668,53.63333333333333,3.5,5.2,1013.2666666666668,64.0,82.66666666666667,0.5,0.6,28.4,0.9
Ayutthaya,2025-02-23,0.1,9.6,38.7,3.5,5.2,1013.15,64.0,92.5,0.5,0.6,31.5,2.3
Ayutthaya,2025-02-24,0.1,-6.1,10.0,3.5,5.2,1016.9,64.0,42.0,0.5,0.6,28.5,5.1
Ayutthaya,2025-02-25,0.1,17.8,51.5,3.5,5.2,1016.4,64.0,52.0,0.5,0.6,28.8,1.5
Ayutthaya,2025-02-26,0.1,5.85,33.15,3.5,5.2,1016.75,64.0,53.0,0.5,0.6,26.2,3.3
Ayutthaya,2025-02-27,0.1,19.0,41.0,3.5,5.2,1014.0,64.0,73.0,0.5,0.6,34.0,3.0
Ayutthaya,2025-02-28,0.1,-6.1,7.9,3.5,5.2,1014.0,64.0,70.0,0.5,0.6,32.7,2.0
Ayutthaya,2025-03-01,0.1,-6.75,8.45,3.5,5.2,1010.8,64.0,111.0,0.5,0.6,30.65,2.75
Ayutthaya,2025-03-02,0.1,-6.1,7.6,3.5,5.2,1009.2,64.0,72.0,0.5,0.6,33.4,1.5
Ayutthaya,2025-03-03,0.1,-6.5,7.4,3.5,5.2,1009.4,64.0,74.0,0.5,0.6,33.3,3.0
Ayutthaya,2025-03-04,0.1,-6.1,7.9,3.5,5.2,1008.8,64.0,72.0,0.5,0.6,32.6,4.6
Ayutthaya,2025-03-05,0.1,-6.8,7.7,3.5,5.2,1009.2,64.0,69.0,0.5,0.6,32.1,3.6
Ayutthaya,2025-03-06,0.1,-6.4,8.0,3.5,5.2,1010.8,64.0,69.0,0.5,0.6,31.9,2.0
Ayutthaya,2025-03-07,0.1,-7.3,8.3,3.5,5.2,1009.9,64.0,77.0,0.5,0.6,30.2,1.5
Ayutthaya,2025-03-08,0.1,-7.4,11.4,3.5,5.2,1013.8,64.0,62.0,99.0,0.6,24.5,2.0
Ayutthaya,2025-03-09,0.1,-7.3,11.5,3.5,5.2,1013.3,64.0,58.0,0.2,0.6,24.5,4.6
Ayutthaya,2025-03-10,0.1,-5.0,8.2,3.5,5.2,1014.4,64.0,53.0,0.2,0.6,33.4,4.6
Ayutthaya,2025-03-11,0.1,-4.9,7.8,3.5,5.2,1012.8,64.0,35.0,0.2,0.6,34.5,1.0
Ayutthaya,2025-03-12,0.1,23.0,45.7,3.5,5.2,1005.0,64.0,102.0,0.2,0.6,36.6,4.1
Ayutthaya,2025-03-13,0.1,-5.9,7.7,3.5,5.2,1011.2,64.0,70.0,0.2,0.6,33.4,3.0
