province_geo,Code,province_en,province_th,region,Population
#UNKNOWN!,TH-37,Amnat Charoen,??????????,Northeastern,"376,350"
#UNKNOWN!,TH-15,Ang Thong,???????,Central,"276,584"
#UNKNOWN!,TH-38,Bueng Kan,??????,Northeastern,"4,494"
#UNKNOWN!,TH-31,Buri Ram,?????????,Northeastern,"1,581,184"
#UNKNOWN!,TH-24,Chachoengsao,??????????,Central,"720,718"
#UNKNOWN!,TH-18,Chai Nat,??????,Central,"12,541"
#UNKNOWN!,TH-36,Chaiyaphum,???????,Northeastern,"1,124,924"
#UNKNOWN!,TH-22,Chanthaburi,????????,Central,"535,559"
#UNKNOWN!,TH-50,Chiang Mai,?????????,Northern,"1,784,370"
#UNKNOWN!,TH-57,Chiang Rai,????????,Northern,"1,295,026"
#UNKNOWN!,TH-20,Chon Buri,??????,Central,"1,566,885"
#UNKNOWN!,TH-86,Chumphon,?????,Southern,"509,208"
#UNKNOWN!,TH-46,Kalasin,?????????,Northeastern,"977,175"
#UNKNOWN!,TH-62,Kamphaeng Phet,?????????,Central,"714,118"
#UNKNOWN!,TH-71,Kanchanaburi,?????????,Central,"25,651"
#UNKNOWN!,TH-40,Khon Kaen,???????,Northeastern,"1,794,531"
#UNKNOWN!,TH-81,Krabi,??????,Southern,"30,499"
#UNKNOWN!,TH-10,Krung Thep Maha Nakhon,?????????????,Central,"5,676,648"
#UNKNOWN!,TH-52,Lampang,?????,Northern,"728,964"
#UNKNOWN!,TH-51,Lamphun,?????,Northern,"402,011"
#UNKNOWN!,TH-42,Loei,???,Northeastern,"638,736"
#UNKNOWN!,TH-16,Lop Buri,??????,Central,"742,928"
#UNKNOWN!,TH-58,Mae Hong Son,??????????,Northern,"6,526"
#UNKNOWN!,TH-44,Maha Sarakham,?????????,Northeastern,"953,660"
#UNKNOWN!,TH-49,Mukdahan,????????,Northeastern,"350,911"
#UNKNOWN!,TH-26,Nakhon Nayok,???????,Central,"260,081"
#UNKNOWN!,TH-73,Nakhon Pathom,?????????????,Central,"920,729"
#UNKNOWN!,TH-48,Nakhon Phanom,??????,Northeastern,"717,201"
#UNKNOWN!,TH-30,Nakhon Ratchasima,??????????,Northeastern,"2,633,207"
#UNKNOWN!,TH-60,Nakhon Sawan,?????????,Central,"1,040,308"
#UNKNOWN!,TH-80,Nakhon Si Thammarat,????????????????????,Southern,"1,550,721"
#UNKNOWN!,TH-55,Nan,????,Northern,"476,727"
#UNKNOWN!,TH-96,Narathiwat,????????,Southern,"804,429"
#UNKNOWN!,TH-39,Nong Bua Lam Phu,???????????,Northeastern,"21,528"
#UNKNOWN!,TH-43,Nong Khai,???????,Northeastern,"517,435"
#UNKNOWN!,TH-12,Nonthaburi,???????,Central,"1,295,916"
#UNKNOWN!,TH-13,Pathum Thani,????????,Central,"1,176,412"
#UNKNOWN!,TH-94,Pattani,???????,Southern,"726,015"
#UNKNOWN!,TH-82,Phangnga,?????,Southern,"268,229"
#UNKNOWN!,TH-93,Phatthalung,??????,Southern,"35,039"
#UNKNOWN!,TH-56,Phayao,?????,Northern,"467,356"
#UNKNOWN!,TH-67,Phetchabun,?????????,Central,"981,940"
#UNKNOWN!,TH-76,Phetchaburi,????????,Central,"23,235"
#UNKNOWN!,TH-66,Phichit,??????,Central,"532,310"
#UNKNOWN!,TH-65,Phitsanulok,????????,Central,"849,481"
#UNKNOWN!,TH-14,Phra Nakhon Si Ayutthaya,???????????????,Central,"819,088"
#UNKNOWN!,TH-54,Phrae,????,Northern,"437,350"
#UNKNOWN!,TH-83,Phuket,??????,Southern,"77,610"
#UNKNOWN!,TH-25,Prachin Buri,??????????,Central,"493,670"
#UNKNOWN!,TH-77,Prachuap Khiri Khan,???????????????,Central,"550,678"
#UNKNOWN!,TH-85,Ranong,?????,Southern,"194,372"
#UNKNOWN!,TH-70,Ratchaburi,???????,Central,"36,339"
#UNKNOWN!,TH-21,Rayong,?????,Central,"741,524"
#UNKNOWN!,TH-45,Roi Et,????????,Northeastern,"1,298,640"
#UNKNOWN!,TH-27,Sa Kaeo,???????,Central,"560,925"
#UNKNOWN!,TH-47,Sakon Nakhon,??????,Northeastern,"1,146,936"
#UNKNOWN!,TH-11,Samut Prakan,???????????,Central,"1,351,479"
#UNKNOWN!,TH-74,Samut Sakhon,?????????,Central,"60,103"
#UNKNOWN!,TH-75,Samut Songkhram,???????????,Central,"192,052"
#UNKNOWN!,TH-19,Saraburi,???????,Central,"643,828"
#UNKNOWN!,TH-91,Satun,????,Southern,"324,098"
#UNKNOWN!,TH-33,Si Sa Ket,????????,Northeastern,"42,405"
#UNKNOWN!,TH-17,Sing Buri,?????????,Central,"17,843"
#UNKNOWN!,TH-90,Songkhla,?????,Southern,"1,428,609"
#UNKNOWN!,TH-64,Sukhothai,???????,Central,"587,883"
#UNKNOWN!,TH-72,Suphan Buri,??????????,Central,"26,164"
#UNKNOWN!,TH-84,Surat Thani,????????????,Southern,"1,073,663"
#UNKNOWN!,TH-32,Surin,????????,Northeastern,"1,378,221"
#UNKNOWN!,TH-63,Tak,???,Central,"670,265"
#UNKNOWN!,TH-92,Trang,????,Southern,"640,574"
#UNKNOWN!,TH-23,Trat,????,Central,"228,536"
#UNKNOWN!,TH-34,Ubon Ratchathani,???????????,Northeastern,"1,866,697"
#UNKNOWN!,TH-41,Udon Thani,????????,Northeastern,"1,563,048"
#UNKNOWN!,TH-61,Uthai Thani,?????????,Central,"15,434"
#UNKNOWN!,TH-53,Uttaradit,?????????,Northern,"448,745"
#UNKNOWN!,TH-95,Yala,????,Southern,"538,602"
#UNKNOWN!,TH-35,Yasothon,?????,Northeastern,"534,500"
