Timestamp,City,name,lat,lon,co,dew,h,no2,o3,p,pm10,pm25,r,so2,t,w,time
2025-02-19 18:11:33,Samut Prakan,"City Hall, Samut Prakan, Thailand (ศาลากลางจังหวัดสมุทรปราการ)",13.599149,100.597345,0.1,-5.9,8.4,9.3,13.4,1008.5,55.0,110.0,0.6,0.6,31.7,0.5,2025-02-20 00:00:00
2025-02-19 18:11:33,Nakhon Ratchasima,"Municipal Waste Water Pumping Station, Nakhon Ratchasima, Thailand (สถานีสูบน้ำเสีย เทศบาลนครราชสีมา)",14.979537,102.098335,,-4.6,9.2,11.0,23.7,985.9,,100.0,0.2,0.6,31.9,0.5,2025-02-20 00:00:00
2025-02-19 18:11:34,Surin,"Pyramid House, Surin, Thailand",14.793612,103.43056,,-4.6,9.2,,,993.9,,,,,32.0,0.5,
2025-02-19 18:11:34,Sakon Nakhon,"Meteorological stations, Sakon Nakhon, Thailand (สถานีอุตุนิยมวิทยาสกลนคร)",17.15662,104.133216,0.1,-4.9,9.9,,20.1,991.0,43.0,63.0,,1.1,30.2,1.5,2025-02-20 00:00:00
2025-02-19 18:11:35,Mueang Khon Kaen,"Khonkaen, Thailand (ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาค 4 ขอนแก่น)",16.44538333,102.83525,,-5.2,9.0,,,988.0,,79.0,0.6,,31.5,0.5,2025-02-20 00:00:00
2025-02-19 18:11:35,Nong Khai,"T.Meechai A.Muang Nongkhai Province, Thailand (ต.มีชัย อ.เมืองหนองคาย จ.หนองคาย)",17.87748,102.728925,0.1,-4.1,10.4,1.8,13.8,988.2,36.0,75.0,,0.6,30.5,1.5,2025-02-20 00:00:00
2025-02-19 18:11:36,Kanchanaburi,"Pak Prak, Kanchanaburi, Kanchanaburi, Thailand (ต.ปากแพรก อ.เมือง จ.กาญจนบุรี)",14.022376,99.536195,0.1,-5.1,8.1,,6.7,1005.0,47.0,117.0,,,33.5,2.0,2025-02-20 00:00:00
2025-02-19 18:11:36,Suphan Buri,"Suphan Buri Provincial Central Stadium, Thailand (สนามกีฬากลางจังหวัดสุพรรณบุรี)",14.476214,100.086095,0.1,-5.6,8.6,4.1,5.2,1008.3,30.0,52.0,,0.6,31.8,2.5,2025-02-20 00:00:00
2025-02-19 18:11:37,Uthai Thani,"Nai Mueang, Mueang, Kamphaeng Phet, Thailand (ต.ในเมือง อ.เมือง จ.กำแพงเพชร)",15.373638,100.038725,0.1,23.4,81.2,,14.2,1001.1,7.0,13.0,3.7,0.6,26.9,1.0,2022-07-02 10:00:00
2025-02-19 18:11:38,Nakhon Sawan,"Nakhonsawan Irrigation , Nakhon Sawan, Thailand (โครงการชลประทานนครสวรรค์)",15.68623,100.110556,0.1,-6.2,8.0,9.3,14.2,1005.4,70.0,94.0,99.3,0.6,32.2,2.5,2025-02-20 00:00:00
2025-02-19 18:11:38,Phitsanulok,"Chom Nan Chaloem Phrakiat Public Park, Thailand (สวนชมน่านเฉลิมพระเกียรติ)",16.820833,100.258056,0.1,-6.5,8.0,4.7,17.4,1003.1,57.0,134.0,,0.6,31.8,1.0,2025-02-20 01:00:00
2025-02-19 18:11:39,Kamphaeng Phet,"Suanboonyopatham, Lamphun, Thailand (รร. ส่วนบุญโญปถัมภ์)",18.5730279,99.0011344,,,68.04,,,1018.8,138.0,261.0,,,27.6,0.3,2020-01-22 17:00:00
2025-02-19 18:11:40,Lamphun,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",18.567194,99.038639,,14.0,31.0,0.6,14.2,1009.0,82.0,90.0,,0.6,33.0,2.5,2025-02-20 00:00:00
2025-02-19 18:11:41,Lampang,"Lampang Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาลำปาง)",18.2783333,99.5064666,0.1,-4.8,9.4,1.8,11.5,978.7,75.0,104.0,0.8,0.6,31.3,1.0,2025-02-20 00:00:00
2025-02-19 18:11:41,Phayao,"Knowledge Park, Phayao, Thailand (อุทยานการเรียนรู้กว๊านพะเยา)",19.200226,99.893048,0.1,-3.7,10.3,6.4,13.1,962.4,77.0,107.0,0.2,,31.2,3.0,2025-02-20 00:00:00
2025-02-19 18:11:42,Bangkok,Bangkok,13.7563309,100.5017651,0.1,,8.2,2.9,13.1,1008.9,56.0,120.0,2.0,0.6,31.7,2.0,2025-02-20 00:00:00
2025-02-19 18:11:42,Trat,"Trat Provincial Central Stadium, Thailand (สนามกีฬากลางจังหวัดตราด)",12.234862,102.523721,0.1,-7.2,8.0,0.6,14.2,1005.0,40.0,81.0,1.3,0.6,30.8,2.5,2025-02-20 00:00:00
2025-02-19 18:11:43,Nonthaburi,"Sukhothai Thammathirat Open University, Nonthaburi, Thailand (มหาวิทยาลัยสุโขทัยธรรมาธิราช)",13.907861,100.535641,0.1,22.0,55.0,15.6,6.4,1009.0,40.0,90.0,,0.6,32.0,1.5,2025-02-20 00:00:00
2025-02-19 18:11:43,Nan,"Municipality Office, Nan, Thailand (สำนักงานเทศบาลเมืองน่าน)",18.7888833,100.7763166,0.1,-5.6,9.7,1.2,1.6,987.4,67.0,132.0,99.2,0.6,29.7,1.5,2025-02-20 00:00:00
2025-02-19 18:11:44,Ubon Ratchathani,"Nai Mueang,Mueang,Ubon Ratchathani , Thailand (ต.ในเมือง อ.เมือง จ.อุบลราชธานี)",15.245413,104.846219,0.1,19.0,46.0,4.7,9.5,1010.0,62.0,151.0,,0.6,32.0,1.5,2025-02-20 00:00:00
2025-02-19 18:11:44,Samut Sakhon,"Provincial Administrative Organization, Samut Sakhon, Thailand (องค์การบริหารส่วนจังหวัดสมุทรสาคร)",13.5502631,100.2647676,,-6.2,8.2,7.5,2.8,1008.9,33.0,57.0,2.0,0.6,31.7,2.0,2025-02-20 00:00:00
